Level 1,Level 1 Description,Level 2,.,Level 3 ,Level 3 Description,Level 4,Level 4 Description,Full level 4 code,,
10,Live Plant & Animal Material & Accessories & Supplies,12,Animal feed,16,Bird & fowl food,04,Poultry food,10121604,,
10,Live Plant & Animal Material & Accessories & Supplies,12,Animal feed,17,Fish food,01,Fresh or frozen brine,10121701,,
10,Live Plant & Animal Material & Accessories & Supplies,12,Animal feed,17,Fish food,02,Fish food pellets,10121702,,
10,Live Plant & Animal Material & Accessories & Supplies,12,Animal feed,17,Fish food,03,Fish food flakes,10121703,,
10,Live Plant & Animal Material & Accessories & Supplies,12,Animal feed,18,Dog & cat food,01,Dry food for dogs,10121801,,
10,Live Plant & Animal Material & Accessories & Supplies,12,Animal feed,18,Dog & cat food,02,Moist food for dogs,10121802,,
10,Live Plant & Animal Material & Accessories & Supplies,12,Animal feed,18,Dog & cat food,03,Milk for dogs or cats,10121803,,
10,Live Plant & Animal Material & Accessories & Supplies,12,Animal feed,18,Dog & cat food,04,Dry food for cats,10121804,,
10,Live Plant & Animal Material & Accessories & Supplies,12,Animal feed,18,Dog & cat food,05,Moist food for cats,10121805,,
10,Live Plant & Animal Material & Accessories & Supplies,12,Animal feed,18,Dog & cat food,06,Treats or snacks for cats or dogs,10121806,,
10,Live Plant & Animal Material & Accessories & Supplies,12,Animal feed,19,Rodent food,01,Pelletized food for rodents,10121901,,
10,Live Plant & Animal Material & Accessories & Supplies,12,Animal feed,20,Reptile food,01,Pelletized food for reptiles,10122001,,
10,Live Plant & Animal Material & Accessories & Supplies,12,Animal feed,20,Reptile food,02,Moist food for reptiles,10122002,,
10,Live Plant & Animal Material & Accessories & Supplies,12,Animal feed,20,Reptile food,03,Live food for reptiles,10122003,,
10,Live Plant & Animal Material & Accessories & Supplies,12,Animal feed,21,Miscellaneous animal food,01,Pig food,10122101,,
10,Live Plant & Animal Material & Accessories & Supplies,12,Animal feed,21,Miscellaneous animal food,02,Mink food,10122102,,
10,Live Plant & Animal Material & Accessories & Supplies,12,Animal feed,21,Miscellaneous animal food,03,Monkey food,10122103,,
10,Live Plant & Animal Material & Accessories & Supplies,13,Animal containment & habitats,15,Animal shelters,06,Livestock stables,10131506,,
10,Live Plant & Animal Material & Accessories & Supplies,13,Animal containment & habitats,15,Animal shelters,07,Domesticized pet houses,10131507,,
10,Live Plant & Animal Material & Accessories & Supplies,13,Animal containment & habitats,15,Animal shelters,08,Pet beds,10131508,,
10,Live Plant & Animal Material & Accessories & Supplies,13,Animal containment & habitats,16,Animal containment,01,Cages or its accessories,10131601,,
10,Live Plant & Animal Material & Accessories & Supplies,13,Animal containment & habitats,16,Animal containment,02,Kennels,10131602,,
10,Live Plant & Animal Material & Accessories & Supplies,13,Animal containment & habitats,16,Animal containment,03,Animal carrying cases,10131603,,
10,Live Plant & Animal Material & Accessories & Supplies,13,Animal containment & habitats,16,Animal containment,04,Dog runs,10131604,,
10,Live Plant & Animal Material & Accessories & Supplies,13,Animal containment & habitats,17,Animal habitats,01,Terrariums,10131701,,
10,Live Plant & Animal Material & Accessories & Supplies,13,Animal containment & habitats,17,Animal habitats,02,Aquariums,10131702,,
10,Live Plant & Animal Material & Accessories & Supplies,14,Saddlery & harness goods,15,Saddlery,01,Saddles,10141501,,
10,Live Plant & Animal Material & Accessories & Supplies,14,Saddlery & harness goods,15,Saddlery,02,Whips,10141502,,
10,Live Plant & Animal Material & Accessories & Supplies,14,Saddlery & harness goods,15,Saddlery,03,Horseshoes,10141503,,
